,gene,importance
4389,Fam25c,0.0050975791220325304
4001,En2,0.005092621210264393
4088,Epx,0.005070110271219482
428,Adgrg2,0.005062536415763183
3024,Ctgf,0.005058309529171275
447,Adora2a,0.005054476338004022
2036,Ccl4,0.005046237591598789
5239,Gpr139,0.005028134525791671
2157,Cdc25c,0.005015054295092276
2770,Colq,0.005013823147724355
5231,Gpr101,0.004971849867608711
1808,Car3,0.004969427555078553
2272,Ceacam9,0.004896112005167121
1343,BC039966,0.004892463781723375
4601,Fgf16,0.0048760491055987384
1559,Bpifa1,0.00486859758034603
2558,Cldn2,0.004845712443678934
3335,Defb11,0.004776031850641443
1563,Bpifb9b,0.004771986036110868
5036,Gh,0.004769678711514383
1839,Casp1,0.00470863278536949
3580,Dnmt3l,0.004702192286042685
856,Apobec2,0.004699191652441784
4368,Fam216b,0.004673194130088078
4231,F5,0.004662430122329174
4607,Fgf3,0.004659622583766992
2471,Chrna1,0.004650971653527171
1236,Atp8b3,0.004644700866530901
202,Abhd12b,0.004642404242896523
4311,Fam166b,0.0046215948927872084
714,Ankfn1,0.00459784154731812
656,Alx3,0.004589270876499674
2757,Col6a5,0.004577966096288526
5474,H2-Ab1,0.004553870695856805
4842,Fzd5,0.004553496108653958
1647,C1ql2,0.004529641623657019
486,Afp,0.004528977813701617
1550,Boll,0.004511831049286414
2741,Col27a1,0.0045082052683051484
5276,Gpr6,0.004458448231046793
4774,Frmd8os,0.004453451801571566
5323,Grem1,0.004417201167223188
4602,Fgf17,0.0044159786372643854
1562,Bpifb9a,0.004415263078607033
2755,Col6a3,0.004401540536573938
4727,Foxd2,0.004370559897154746
1330,BC028471,0.004369731608130097
3277,Ddc,0.004353721934775477
1876,Cbln1,0.0043174157708550055
503,Agmat,0.004307090872901773
3126,Cyp26b1,0.0043053059333570416
4636,Fign,0.004301250482121304
1182,Atp2a1,0.0042946085818317825
4150,Esyt3,0.004257469126618016
2374,Cfap52,0.004243770324248828
4300,Fam159b,0.004218008505537348
3334,Defb1,0.00421085628350803
4746,Foxp2,0.004201561482307695
5409,Gsx1,0.004201401996509432
3655,Drd2,0.004194228889784329
4146,Esrrb,0.004192695011778128
3182,Dach1,0.004186884697691747
5413,Gtf2a1l,0.004158593569224472
1856,Catsper3,0.004154965360331142
4349,Fam19a4,0.004148466227397901
3346,Dennd2d,0.00414356266078735
5257,Gpr179,0.0041343684409413314
2738,Col24a1,0.0041257472433462
4919,Galr1,0.004120012031581367
3194,Dao,0.004116649010482663
1269,Avil,0.004103829892065133
1740,Calcr,0.004102192469670064
2942,Crocc2,0.00409721326277447
5560,Hcrtr2,0.004092424758201234
2375,Cfap53,0.004086940713580189
5077,Gkn1,0.004072245540146709
3449,Dkk2,0.004061556583926549
