injection_position,path,path_length,strength,start,end
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→MOp5→RSPagl5→RSPagl6a,7,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.008531, 0.015547, 0.015872]",ACAd2/3,RSPagl6a
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→MOp5→RSPagl5→RSPagl6a→VISam6a,8,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.008531, 0.015547, 0.015872, 0.014469]",ACAd2/3,VISam6a
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISam6a→VISam5,8,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.004461, 0.004845, 0.014469, 0.01807]",ACAd2/3,VISam5
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→MOp5→RSPagl5→RSPagl6a→VISa6a,8,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.008531, 0.015547, 0.015872, 0.004845]",ACAd2/3,VISa6a
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBm5→ORBvl5→ORBvl2/3→FRP2/3,8,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.017832, 0.008875, 0.009429, 0.003018]",ACAd2/3,FRP2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→PL6a→ORBm6a→ORBvl6a→ORBvl5→ORBl5→ORBl2/3,8,"[0.182779, 0.128518, 0.042455, 0.011232, 0.006562, 0.00202, 0.008875, 0.002231, 0.003978]",ACAd2/3,ORBl2/3
ACAd2/3,ACAd2/3→ACAd5→MOs5→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→SSp-tr5→SSp-tr4→SSp-tr2/3→SSp-tr1→SSp-ll1,12,"[0.182779, 0.128518, 0.04085, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.006836, 0.006626, 0.00764, 0.004109, 0.01168]",ACAd2/3,SSp-ll1
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→SSp-tr5,8,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.006836]",ACAd2/3,SSp-tr5
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→VISa4→VISa2/3→VISa1→SSp-tr1→SSp-tr2/3,12,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.009794, 0.007587, 0.004256, 0.004109, 0.00764]",ACAd2/3,SSp-tr2/3
ACAd2/3,ACAd2/3→ACAd5→ACAd6a→MOs6a→MOp6a→SSp-tr6a→VISa6a→VISa5→SSp-tr5→SSp-tr4,9,"[0.182779, 0.128518, 0.042455, 0.02001, 0.012381, 0.004461, 0.004845, 0.005421, 0.006836, 0.006626]",ACAd2/3,SSp-tr4
