start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
436,255,436→1009→802→997→549→255,5,10,fx→fiber tracts→sm→root→TH→AV,fx
436,542,436→428→149→15→362→802→10703→382→466→484682516→940→590→687→430→542,14,35,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing→RSPv6a→RSPv5→RSPv2/3→RSPv1,fx
436,81,436→1009→351→477→81,4,11,fx→fiber tracts→BST→STR→VL,fx
436,687,436→428→149→15→362→802→10703→382→466→484682516→940→590→687,12,35,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing→RSPv6a→RSPv5,fx
436,590,436→428→149→15→362→802→10703→382→466→484682516→940→590,11,30,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing→RSPv6a,fx
436,484682516,436→428→149→15→362→802→10703→382→466→484682516,9,28,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb,fx
436,672,436→1009→351→477→81→672,5,19,fx→fiber tracts→BST→STR→VL→CP,fx
436,940,436→428→149→15→362→802→10703→382→466→484682516→940,10,29,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing,fx
436,997,436→1009→351→477→266→258→81→997,7,13,fx→fiber tracts→BST→STR→LSv→LSr→VL→root,fx
436,250,436→1009→351→477→266→258→250,6,12,fx→fiber tracts→BST→STR→LSv→LSr→LSc,fx
436,466,436→428→149→15→362→802→10703→382→466,8,27,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv,fx
436,382,436→428→149→15→362→802→10703→382,7,29,fx→mct→PVT→PT→MD→sm→DG-mo→CA1,fx
436,443,436→428→149→15→362→802→10703→382→466→443,9,29,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→dhc,fx
436,986,436→428→149→15→362→802→10703→382→466→443→986,10,30,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→dhc→ccs,fx
436,564,436→310→258→564,3,8,fx→SF→LSr→MS,fx
436,971,436→428→149→15→362→802→10703→382→466→443→971,10,43,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→dhc→fp,fx
436,484682470,436→428→149→15→362→802→10703→382→466→484682470,9,44,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ProS,fx
436,502,436→428→149→15→362→802→10703→382→466→502,9,45,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→SUB,fx
436,17,436→428→149→15→362→802→10703→997→313→10→17,10,53,fx→mct→PVT→PT→MD→sm→DG-mo→root→MB→SCig→SCiw,fx
436,1089,436→428→149→15→362→802→10703→382→466→484682516→940→590→1089,12,38,fx→mct→PVT→PT→MD→sm→DG-mo→CA1→alv→ccb→cing→RSPv6a→HPF,fx
436,1061,436→428→149→15→362→802→10703→997→313→1061,9,51,fx→mct→PVT→PT→MD→sm→DG-mo→root→MB→PPT,fx
436,10,436→428→149→15→362→802→10703→997→313→1061→10,10,52,fx→mct→PVT→PT→MD→sm→DG-mo→root→MB→PPT→SCig,fx
351,287,351→287,1,3,BST→BAC,BST
351,443,351→900→477→436→581→129→997→443,7,40,BST→aco→STR→fx→TRS→V3→root→dhc,BST
351,634,351→900→477→436→581→129→997→313→634,8,26,BST→aco→STR→fx→TRS→V3→root→MB→NPC,BST
351,336,351→477→436→581→129→997→313→17→336,8,52,BST→STR→fx→TRS→V3→root→MB→SCiw→csc,BST
351,10,351→900→477→436→581→129→997→10703→982→1089→382→466→443→484682516→430→542→0→834→842→851→10,20,63,BST→aco→STR→fx→TRS→V3→root→DG-mo→FC→HPF→CA1→alv→dhc→ccb→RSPv2/3→RSPv1→0→SCzo→SCsg→SCop→SCig,BST
351,628,351→477→436→581→129→997→628,6,43,BST→STR→fx→TRS→V3→root→NOT,BST
351,687,351→477→436→581→129→997→443→971→986→430→687,10,45,BST→STR→fx→TRS→V3→root→dhc→fp→ccs→RSPv2/3→RSPv5,BST
351,1079,351→477→436→581→129→997→313→215→1029→563807435→1088→1079,11,44,BST→STR→fx→TRS→V3→root→MB→APN→POL→PoT→MGm→MGv,BST
351,313,351→900→477→436→581→129→997→313,7,37,BST→aco→STR→fx→TRS→V3→root→MB,BST
351,483,351→477→436→581→129→483,5,22,BST→STR→fx→TRS→V3→MH,BST
351,382,351→477→436→581→129→997→10703→982→1089→382,9,42,BST→STR→fx→TRS→V3→root→DG-mo→FC→HPF→CA1,BST
351,1089,351→477→436→581→129→10703→1089,6,27,BST→STR→fx→TRS→V3→DG-mo→HPF,BST
351,971,351→900→477→436→581→129→997→10703→982→1089→382→466→443→986→971,14,56,BST→aco→STR→fx→TRS→V3→root→DG-mo→FC→HPF→CA1→alv→dhc→ccs→fp,BST
351,986,351→477→436→581→129→997→443→484682516→986,8,33,BST→STR→fx→TRS→V3→root→dhc→ccb→ccs,BST
1104,81,1104→549→81,2,12,AMv→TH→VL,AMv
1104,956,1104→549→81→672→956,4,18,AMv→TH→VL→CP→fa,AMv
1104,772,1104→549→81→672→956→940→1054→827→363→772,9,25,AMv→TH→VL→CP→fa→cing→ILA6a→ILA5→PL5→ACAv5,AMv
1104,810,1104→549→81→672→956→940→1054→827→363→772→810,10,26,AMv→TH→VL→CP→fa→cing→ILA6a→ILA5→PL5→ACAv5→ACAv6a,AMv
1104,1108,1104→549→81→672→956→940→1054→827→363→772→810→1108,11,27,AMv→TH→VL→CP→fa→cing→ILA6a→ILA5→PL5→ACAv5→ACAv6a→ccg,AMv
1104,814,1104→549→81→672→956→940→1054→827→363→772→810→814,11,31,AMv→TH→VL→CP→fa→cing→ILA6a→ILA5→PL5→ACAv5→ACAv6a→DP,AMv
1104,98,1104→549→81→672→956→98,5,33,AMv→TH→VL→CP→fa→SEZ,AMv
262,262,262,0,1,RT,RT
262,685,262→685,1,1,RT→VM,RT
262,1104,262→685→1104,2,2,RT→VM→AMv,RT
262,81,262→629→1104→255→549→997→81,6,9,RT→VAL→AMv→AV→TH→root→VL,RT
262,672,262→629→1104→255→549→997→81→672,7,13,RT→VAL→AMv→AV→TH→root→VL→CP,RT
262,956,262→629→1104→255→549→997→81→672→956,8,12,RT→VAL→AMv→AV→TH→root→VL→CP→fa,RT
