start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
423,449,423→463→466→603→449,4,6,CA2→CA3→alv→fi→vhc,CA2
484682470,422,484682470→382→466→530→258→310→436→194→210→525→753→690→422,12,34,ProS→CA1→alv→df→LSr→SF→fx→LHA→LM→SUM→pm→mtt→SPFp,ProS
423,986,423→463→466→986,3,6,CA2→CA3→alv→ccs,CA2
423,312782652,423→382→466→971→484682520→312782652,5,10,CA2→CA1→alv→fp→or→VISpor6b,CA2
466,484682512,466→484682516→484682512,2,6,alv→ccb→scwm,alv
466,74,466→971→484682520→121→74,4,14,alv→fp→or→VISl6b→VISl6a,alv
463,23,463→466→603→310→564→596→23,6,18,CA3→alv→fi→SF→MS→NDB→AAA,CA3
463,689,463→466→603→310→564→596→689,6,11,CA3→alv→fi→SF→MS→NDB→VLPO,CA3
382,496345668,382→466→496345668,2,9,CA1→alv→LGd-co,CA1
382,831,382→466→603→258→630→440→579→484682512→831,8,19,CA1→alv→fi→LSr→ORBl5→ORBl6a→ec→scwm→AId6b,CA1
579,1084,579→382→484682470→502→1084,4,6,ec→CA1→ProS→SUB→PRE,ec
382,482,382→484682470→502→1084→1037→482,5,7,CA1→ProS→SUB→PRE→POST→bic,CA1
843,312782652,843→727→743→28→579→484682520→312782652,6,31,PAR→ENTm5→ENTm6→ENTl6a→ec→or→VISpor6b,PAR
843,311,843→1084→502→484682470→466→743→566→311,7,7,PAR→PRE→SUB→ProS→alv→ENTm6→TR→BLAp,PAR
843,334,843→1084→502→484682470→466→743→566→311→334,8,8,PAR→PRE→SUB→ProS→alv→ENTm6→TR→BLAp→BMAp,PAR
589508447,749,589508447→484682470→382→466→603→310→436→194→210→525→54→749,11,31,HATA→ProS→CA1→alv→fi→SF→fx→LHA→LM→SUM→mfb→VTA,HATA
589508447,1077,589508447→484682470→382→466→603→310→436→88→1077,8,19,HATA→ProS→CA1→alv→fi→SF→fx→AHN→PR,HATA
589508447,26,589508447→484682470→382→466→603→310→436→88→1077→414→609→42→26,12,27,HATA→ProS→CA1→alv→fi→SF→fx→AHN→PR→SPFm→SPA→SCdw→SCdg,HATA
589508447,336,589508447→484682470→382→466→603→310→436→88→1077→414→609→336,11,24,HATA→ProS→CA1→alv→fi→SF→fx→AHN→PR→SPFm→SPA→csc,HATA
589508447,788,589508447→382→780→403→334→655→788,6,9,HATA→CA1→PA→MEA→BMAp→COApl→PAA,HATA
589508447,507,589508447→382→466→603→310→266→56→159→507,8,19,HATA→CA1→alv→fi→SF→LSv→ACB→AON→MOB,HATA
1084,108,1084→843→727→743→579→466→603→108,7,36,PRE→PAR→ENTm5→ENTm6→ec→alv→fi→chpl,PRE
484682470,872,484682470→382→466→603→310→436→194→210→525→54→749→607344830→607344854→679→872,14,28,ProS→CA1→alv→fi→SF→fx→LHA→LM→SUM→mfb→VTA→PN→IPDM→CS→DR,ProS
484682470,880,484682470→382→466→603→310→436→194→210→525→54→749→607344830→607344854→679→872→898→880,16,30,ProS→CA1→alv→fi→SF→fx→LHA→LM→SUM→mfb→VTA→PN→IPDM→CS→DR→PCG→DTN,ProS
484682470,599626927,484682470→382→466→603→310→436→194→210→525→54→749→607344830→607344854→679→872→898→599626927,16,32,ProS→CA1→alv→fi→SF→fx→LHA→LM→SUM→mfb→VTA→PN→IPDM→CS→DR→PCG→PDTg,ProS
484682470,898,484682470→382→466→603→310→436→194→210→525→54→749→607344830→607344854→679→872→898,15,32,ProS→CA1→alv→fi→SF→fx→LHA→LM→SUM→mfb→VTA→PN→IPDM→CS→DR→PCG,ProS
484682470,671,484682470→10703→1084→843→484682508→442→750→671,7,8,ProS→DG-mo→PRE→PAR→APr→RSPd1→VISpl1→RSPagl1,ProS
484682470,434,484682470→10703→1084→843→484682508→434,5,14,ProS→DG-mo→PRE→PAR→APr→RSPd2/3,ProS
843,463,843→727→743→28→579→466→463,6,27,PAR→ENTm5→ENTm6→ENTl6a→ec→alv→CA3,PAR
10703,581,10703→502→484682470→466→603→310→581,6,15,DG-mo→SUB→ProS→alv→fi→SF→TRS,DG-mo
10703,564,10703→502→484682470→466→603→310→564,6,17,DG-mo→SUB→ProS→alv→fi→SF→MS,DG-mo
589508447,303,589508447→780→334→311→303,4,10,HATA→PA→BMAp→BLAp→BLAa,HATA
843,966,843→727→743→502→484682470→466→579→966,7,25,PAR→ENTm5→ENTm6→SUB→ProS→alv→ec→EPv,PAR
484682470,811,484682470→382→466→603→310→581→436→88→576073704→946→414→609→820→811,13,23,ProS→CA1→alv→fi→SF→TRS→fx→AHN→PeF→PH→SPFm→SPA→ICd→ICc,ProS
502,680,502→466→603→310→258→597→159→814→910→608→680,10,28,SUB→alv→fi→SF→LSr→TTd→AON→DP→ORBm6a→ORBvl6a→ORBvl6b,SUB
484682470,312782590,484682470→502→466→28→579→312782648→312782594→312782590,7,10,ProS→SUB→alv→ENTl6a→ec→VISpor6a→VISli6a→VISli5,ProS
743,484682520,743→579→484682520,2,2,ENTm6→ec→or,ENTm6
743,218,743→579→971→466→603→250→258→310→436→802→1104→255→155→218,13,26,ENTm6→ec→fp→alv→fi→LSc→LSr→SF→fx→sm→AMv→AV→LD→LP,ENTm6
28,366,28→312782652→579→971→466→603→310→581→436→181→366,10,32,ENTl6a→VISpor6b→ec→fp→alv→fi→SF→TRS→fx→RE→SMT,ENTl6a
843,1037,843→1037,1,5,PAR→POST,PAR
502,540,502→484682470→466→579→28→335→692→888→540,8,9,SUB→ProS→alv→ec→ENTl6a→PERI6a→PERI5→PERI2/3→PERI1,SUB
502,108,502→466→603→108,3,18,SUB→alv→fi→chpl,SUB
28,673,28→1045→579→971→466→603→310→436→576073704→614→1→210→606826647→525→673,14,34,ENTl6a→ECT6b→ec→fp→alv→fi→SF→fx→PeF→TU→TMv→LM→MMl→SUM→mp,ENTl6a
312782648,312782648,312782648,0,1,VISpor6a,VISpor6a
312782648,312782652,312782648→312782652,1,1,VISpor6a→VISpor6b,VISpor6a
312782648,484682520,312782648→312782652→484682520,2,3,VISpor6a→VISpor6b→or,VISpor6a
