start_node,end_node,path,path_length,edges_used
502,266,502→466→603→310→258→266,5,17
502,596,502→466→603→258→596,4,56
502,262,502→466→603→310→436→262,5,40
502,414,502→466→603→310→436→576073704→88→63→1077→414,9,68
502,523,502→466→603→258→523,4,49
502,50,502→466→603→310→436→802→15→149→50,8,67
1084,1084,1084,0,6
1084,843,1084→843,1,5
1084,436,1084→502→484682470→466→603→310→436,6,18
1084,581,1084→502→484682470→466→603→310→581,6,20
1084,502,1084→502,1,1
1084,1096,1084→502→484682470→466→603→310→436→1096,7,23
1084,255,1084→502→484682470→466→603→310→436→1096→1104→255,9,40
484682470,727,484682470→502→743→727,3,16
484682470,1084,484682470→502→1084,2,2
484682470,843,484682470→502→1084→843,3,5
484682470,589508447,484682470→589508447,1,1
484682470,10703,484682470→10703,1,2
484682470,428,484682470→382→466→603→310→581→436→428,7,15
484682470,525,484682470→466→603→310→436→606826647→525,6,57
484682470,980,484682470→466→603→310→436→606826647→525→980,7,60
484682470,129,484682470→466→603→310→436→428→15→149→129,8,48
484682470,118,484682470→466→603→310→436→576073704→88→693→118,8,51
484682470,362,484682470→466→603→310→436→15→362,6,55
484682470,38,484682470→466→603→310→436→38,5,36
484682470,351,484682470→466→603→310→436→351,5,36
484682470,1109,484682470→466→603→310→436→351→1109,6,49
484682470,133,484682470→466→603→310→436→576073704→88→347→133,8,51
484682470,347,484682470→466→603→310→436→428→515→347,7,35
484682470,30,484682470→466→603→310→436→576073704→194→173→614→1004→693→347→118→30,13,49
484682470,830,484682470→466→603→310→436→576073704→88→830,7,46
484682470,673,484682470→466→603→310→436→606826647→525→673,7,53
484682470,1004,484682470→466→603→310→436→614→1004,6,60
484682470,286,484682470→466→603→310→436→576073704→88→286,7,40
484682470,115,484682470→382→466→603→310→436→606826647→525→673→397→591→62→115,12,26
484682470,581,484682470→466→603→310→581,4,20
1084,543,1084→502→743→727→664→543,5,36
1084,589508447,1084→502→589508447,2,16
1084,484682470,1084→502→484682470,2,2
1084,382,1084→502→484682470→382,3,15
1084,466,1084→502→466,2,19
1084,603,1084→502→466→603,3,30
1084,526,1084→502→743→727→664→543→526,6,38
1084,664,1084→502→466→579→28→743→727→664,7,32
1084,727,1084→843→727,2,25
1084,463,1084→10703→632→10704→463,4,35
1084,52,1084→502→466→443→743→727→664→52,7,33
1084,139,1084→502→466→443→743→727→139,6,43
589508447,589508447,589508447,0,1
589508447,382,589508447→484682470→382,2,2
589508447,502,589508447→502,1,1
589508447,484682470,589508447→484682470,1,1
589508447,10703,589508447→484682470→10703,2,2
589508447,780,589508447→780,1,5
589508447,1084,589508447→502→1084,2,6
589508447,466,589508447→382→466,2,4
589508447,664,589508447→664,1,9
589508447,266,589508447→382→466→603→310→258→266,6,16
589508447,258,589508447→382→466→603→310→258,5,16
589508447,194,589508447→382→466→603→310→436→576073704→194,7,25
589508447,436,589508447→484682470→382→466→603→310→436,6,21
589508447,56,589508447→484682470→382→466→603→310→258→266→56,8,20
589508447,980,589508447→484682470→466→603→310→436→614→210→194→606826647→980,10,54
589508447,946,589508447→466→603→310→436→88→347→286→118→223→1004→606826647→606826651→980→946,14,48
589508447,158,589508447→484682470→382→466→603→310→436→614→210→1004→980→946→118→129→50→158,15,33
589508447,1,589508447→382→466→603→310→581→436→428→515→88→173→614→1,12,43
589508447,634,589508447→484682470→382→466→603→310→436→614→210→1004→980→946→118→129→50→158→634,16,33
589508447,732,589508447→484682470→382→466→603→310→436→576073704→614→194→210→606826647→606826651→732,13,36
589508447,606826651,589508447→484682470→382→466→603→310→436→576073704→614→194→210→606826647→606826651,12,39
589508447,1004,589508447→466→603→310→436→88→173→614→1→1004,9,61
484682470,741,484682470→466→603→310→436→194→606826647→525→753→690→946→414→741,12,57
484682470,126,484682470→466→603→310→436→515→88→693→223→126,9,64
484682470,1077,484682470→466→603→310→436→1077,5,60
484682470,1126,484682470→466→603→310→436→194→606826647→606826651→980→1126,9,58
484682470,664,484682470→502→743→727→664,4,23
484682470,262,484682470→466→603→310→436→262,5,30
484682470,606826655,484682470→466→603→310→436→194→210→606826647→606826651→606826655,9,58
484682470,414,484682470→466→603→310→436→88→63→1077→181→414,9,79
484682470,303,484682470→466→579→966→311→303,5,17
484682470,559,484682470→466→579→966→311→334→1105→559,7,35
484682470,551,484682470→466→579→780→334→1105→559→551,7,22
484682470,98,484682470→382→466→603→310→258→98,6,22
484682470,507,484682470→466→603→258→159→507,5,34
484682470,158,484682470→466→603→310→436→428→15→149→50→158,9,66
484682470,72,484682470→466→603→310→258→266→72,6,31
484682470,50,484682470→466→603→310→436→428→15→149→50,8,75
484682470,531,484682470→382→466→603→310→581→15→428→515→88→830→946→414→609→50→158→634→531,17,27
484682470,634,484682470→466→603→310→436→515→88→830→946→414→609→50→158→634,13,59
382,551,382→466→780→334→1105→559→551,6,21
382,576073699,382→466→603→310→258→266→72→523→576073699,8,36
382,428,382→466→603→310→581→436→428,6,11
382,908,382→466→603→310→436→351→908,6,38
382,126,382→466→603→310→436→88→173→614→1→1004→126,10,47
382,1126,382→466→603→310→436→576073704→614→1004→980→1126,9,51
382,118,382→466→603→310→436→88→693→118,7,55
382,158,382→466→603→310→436→15→149→50→158,8,65
382,1084,382→484682470→502→1084,3,7
1084,980,1084→502→484682470→382→466→603→310→436→194→606826647→525→606826651→980,12,28
1084,63,1084→502→484682470→382→466→603→310→436→63,8,20
1084,1077,1084→502→484682470→382→466→603→310→436→1077,8,19
1084,743,1084→502→743,2,13
1084,28,1084→843→727→743→28,4,29
1084,952,1084→502→466→28→952,4,15
1084,310,1084→502→743→28→579→466→603→310,7,32
1084,1104,1084→502→484682470→466→603→310→436→1096→1104,8,28
1084,672,1084→843→727→743→28→579→484682520→672,7,23
743,743,743,0,1
743,727,743→727,1,1
743,28,743→28,1,3
743,672,743→466→603→258→56→672,5,38
743,436,743→28→579→466→603→310→436,6,30
743,194,743→579→466→603→310→436→576073704→194,7,46
743,802,743→28→579→466→603→310→436→802,7,31
743,664,743→727→664,2,8
743,1104,743→28→579→466→603→310→436→802→1096→1104,9,45
743,351,743→28→579→466→603→310→436→802→351,8,40
743,1096,743→28→579→466→603→310→436→802→262→1104→1096,10,37
743,255,743→28→579→466→603→310→436→802→1104→255,9,54
743,262,743→28→579→466→603→310→436→802→351→262,9,51
843,971,843→727→743→28→579→971,5,16
1084,971,1084→502→466→971,3,20
1084,312782652,1084→843→743→579→484682520→312782652,5,6
843,28,843→727→743→28,3,11
632,10703,632→10703,1,1
10703,10703,10703,0,1
10704,463,10704→463,1,3
10704,632,10704→632,1,5
382,312782652,382→466→971→484682520→312782652,4,6
382,189,382→466→603→310→436→181→189,6,46
382,1125,382→466→603→258→597→814→1054→910→620→1125,9,37
382,1120,382→466→603→310→436→802→15→1113→1120,8,44
382,288,382→466→603→258→597→814→1054→910→620→1125→288,10,44
382,969,382→466→603→258→597→814→1054→910→620→582→288→969,11,45
382,171,382→466→603→258→597→814→1054→827→363→304→171,10,34
382,304,382→466→603→258→597→814→1054→827→363→304,9,28
382,632,382→423→463→10704→632,4,7
382,423,382→423,1,1
484682470,312782648,484682470→466→971→484682520→312782652→312782648,5,5
484682470,377,484682470→502→443→1037→484682508→377,5,21
484682470,312782644,484682470→466→579→28→139→312782644,5,11
484682470,289,484682470→466→579→368→335→977→988→289,7,27
484682470,1127,484682470→466→579→368→28→139→335→977→988→427→1127,10,28
484682470,234,484682470→466→971→484682520→786→729→977→988→289→234,9,22
382,753,382→466→530→250→310→436→606826647→753,7,48
382,1139,382→466→579→780→663→403→1139,6,71
382,749,382→466→603→310→436→194→210→525→673→749,9,39
382,268,382→466→603→310→436→576073704→194→403→1139→268,9,42
502,986,502→466→986,2,8
502,52,502→466→443→743→727→664→52,6,32
502,20,502→466→443→743→28→139→52→20,7,35
382,1113,382→466→603→310→436→802→15→1113,7,36
382,1104,382→466→603→310→436→802→15→1113→1096→1104,9,37
1084,20,1084→1037→502→466→443→743→727→664→52→20,9,31
1084,986,1084→502→466→986,3,27
1084,10703,1084→10703,1,3
1084,484682520,1084→502→743→28→579→484682520,5,27
484682470,687,484682470→502→466→443→971→590→687,6,19
484682470,430,484682470→502→466→443→971→590→687→430,7,17
484682470,1037,484682470→502→1037,2,2
484682470,542,484682470→502→466→443→971→940→590→687→430→542,9,15
382,560581559,382→466→603→310→436→181→560581559,6,47
382,998,382→466→603→258→56→998,5,23
382,23,382→466→603→310→436→576073704→194→403→23,8,52
382,335,382→466→579→28→335,4,22
382,685,382→466→603→310→436→194→525→753→690→685,9,75
382,587,382→466→603→310→436→194→525→946→587,8,61
382,344,382→466→579→28→139→961→344,6,31
1084,1037,1084→1037,1,1
1084,484682508,1084→843→484682508,2,3
484682470,971,484682470→466→971,2,3
484682470,1045,484682470→466→579→1045,3,5
484682470,786,484682470→502→466→579→484682520→786,5,10
484682470,977,484682470→466→579→1045→977,4,23
484682470,988,484682470→466→579→1045→977→988,5,30
484682470,335,484682470→466→579→28→139→335,5,18
484682470,1054,484682470→466→603→258→597→814→1054,6,28
484682470,827,484682470→466→603→258→597→814→1054→827,7,29
484682470,427,484682470→466→579→28→139→692→988→427,7,18
484682470,952,484682470→466→579→952,3,18
484682470,672,484682470→466→603→258→56→672,5,26
484682470,52,484682470→466→579→28→139→52,5,5
484682470,451,484682470→466→579→28→966→311→334→451,7,26
484682470,210,484682470→466→603→310→436→576073704→614→1→210,8,50
484682470,560581559,484682470→466→603→310→436→181→560581559,6,49
484682470,442,484682470→502→1037→484682508→442,4,18
484682470,443,484682470→502→466→443,3,3
484682470,543,484682470→466→743→727→664→543,5,41
484682470,526,484682470→502→743→727→664→543→526,6,25
1084,443,1084→1037→443,2,16
1084,312782644,1084→1037→502→466→443→743→727→312782644,7,32
1084,484682516,1084→502→466→484682516,3,23
484682470,986,484682470→502→466→986,3,11
484682470,250,484682470→466→484682516→250,3,16
10704,423,10704→463→423,2,3
1084,1121,1084→502→466→443→743→727→664→52→20→1121,9,12
382,692,382→466→579→28→139→692,5,16
382,788,382→466→579→966→788,4,20
382,488,382→466→603→258→159→56→440→488,7,53
382,608,382→466→603→258→597→814→1054→910→608,8,35
382,312782640,382→466→28→139→312782644→312782640,5,31
382,204,382→466→603→258→159→196→538→204,7,28
382,196,382→466→603→258→159→196,5,28
382,526157196,382→466→603→258→597→814→1054→910→608→440→526157196,10,41
382,767,382→466→603→258→814→910→84→363→767,8,64
382,986,382→466→986,2,2
382,884,382→466→579→1045→884,4,16
382,131,382→466→780→334→311→131,5,26
382,332,382→466→603→310→436→88→332,6,21
382,819,382→466→603→258→597→814→827→772→810→819,9,34
